Как тебя зовут?	Дæ ном куыд хуыйны?
Он должен быть сделан.	Уый хъомæ уæ арыст
Я хотел бы её увидеть.	Ман фӕнды уийы фенын
Потолок покрашен в жёлтый цвет.	Цар ахуырст у бур хузæй
Я очень люблю свою мать.	Ыз тынг уарзын мæ мады
У тебя есть швейная машинка?	Хуыйгæнаг машинæ дæм ис?
Ну почему ты мне не веришь?	Цӕмӕнна мыл ’ууӕндыс?
Это хорошая работа.	Айæ у хорз куыст
Она не хочет, чтобы я говорил на эту тему.	Уийы нæ фæнды, цæмæй уцы темæйл дзурон
Снимай обувь.	Ралас къахыдарæс
Том отправил Мэри текстовое сообщение.	Том арвыста Мэрийан ног хабæрттæ
Мэри заработала много денег.	Мэри бирæ ӕхца бакуыста
Вы знакомы?	Зонгæ стут?
Мне надо было остаться дома.	Хæдзары мын хъуыдис æрллауын.
Они встретятся с Лвизой завтра.	Лвизæимæ сом фембæлдзысты.
Я солгал, когда он спросил, сколько мне лет.	Æз фæсайдтон, куы мæ бафарстат, цал азы мыл цæуы уæд.
Поживи пока у меня, а там что-нибудь придумаем.	Ме’мæ уал цæр , мæ стæй исты æрхъуыды кæндзыстæм.
Он местный чокнутый.	Бынæттон æдылы у.
Я видела, как Том умирает.	Æз феттон , Том куыд мардис уый.
Том - патриот.	Том-патриот у .
Я не говорю, что она поступила правильно.	Æз нæ дзурын, раст кæй бакодта уый .
Я самая младшая из трёх сестёр.	Æртæ хойы, æз кæстæр дæн.
Кто еще придёт на вечеринку?	Чи ма æрбацæудзæн хъазтизæрмæ?
"Как жизнь, Том?" - "Хуже некуда".	«Куыд у цард , Том ?»-«æвзæрдæр никуыдæм»
Просто отдай приказ.	Бардзырд ратт.
Флаг Бразилии зелёный, жёлтый и синий.	Бразилийы тырыса , кæрдæгхуыз бур æмæ арвхуыз.
Я просто думаю, что это смешно.	Æз хъуыды кæнын, худæг кæй у .
Том сказал, что он в Бостоне.	Том загъта, Бостоны дам дæн.
Не снимай обувь.	Дзабыртæ ма ралас.
Том не хочет ехать с вами.	Томы нæ фæнды сымахимæ цæуый.
Теперь там музей.	Ныртæккæ та дзы ис музей.
У меня пошла кровь.	Туг мæ рацыдис.
Скажите Тому, что его зонт до сих пор у меня.	Зæгъут Томæн , йæ зонт нæма дæр мæнмæ ис .
Отец ничего не говорит.	Мæ фыд ницы дзуры.
Это твой сыновний долг.	Ай фырты хæс у .
Как ты можешь шутить в такой ситуации?	Дæ бон куыд у ахæм хабары хъынджылæг кæнын?
У меня в Бостоне брат живёт.	Мæнæн Бостоны ме’фсымæр цæры.
Мэри засмеялась, увидев Тома голым.	Мэри ныххудтис, Том куы федта гомæй уæд .
Мне нравятся люди, которые не боятся стареть.	Мæнæн мæ зæрдæмæ цæуынц ахæм адæм , кæдон нæ тæрсынц зæронд кæнын.
Я часто говорю с Томом.	Æз арæх дзурын Томимæ.
Том не сделал того, что от него ожидали.	Том нæ сарæзта, цы дзы нхъæлдтой уый.
Меня проводили до моего места.	Мæ бынатмæ мæ ахизын кодтой.
Думаю, вы можете помочь им.	Хъуыды кæнын, сымахæн уæ бон суыдзæним уыдонæн баххуыс кæнын.
Я неплохо его знал.	Æз æй æвзæр нæ зонын.
Думаю, у нас проблемы.	Хъуыды кæнын, проблемæтæ нын ис .
Я пенсионерка.	Æз пенсионеркæ дæн .
Я уже была здесь.	Æз уыдтæн ам.
Это должно быть смешно?	Худæг хъуамæ уа?
Я люблю смотреть футбольные матчи.	Æз уарзын къахпортийы матчмæ кæсын.
Мне очень понравилась эта книга!	Мæ зæрдæмæ тынг фæцыд ацы чиныг!
Я бы с тобой согласился, но тогда мы бы оба ошибались.	Æз де’ма сразы уыдаин , фæлæ уæд нæ дыууæ дæр рæдыдаиккам.
Кен ходил на костылях.	Кен цыдис æнцойгæнæн лæдзæгимæ.
Нас выгнали.	Мах расырдтой.
Каждого мальчика и девочку учат читать и писать.	Алкæцы чызг æмæ лæппуйы ахуыр кæнынц кæсын æмæ фыссын .
Мне нужно, чтобы вы помогли мне это найти.	Мæн фæнды, цæмæй мын сымах баххуыс кæнат уый ссарын .
Я не могу пойти одна.	Мæ бон нæу иунæгæй ацæуын.
Мне нужно, чтобы кто-нибудь помог мне разбогатеть.	Мæн фæнды, цæмæй мын исчи баххуыс цæмæй схъæздыг уон .
Том сказал, что он не расстроен.	Том загъта , мæстджын нæу.
Сегодня вечером я буду заниматься.	Абон изæрæй æз архайдзынæн .
Мало того, что ты мне жизнь испортил, ты ещё и ей хочешь испортить?	Фаг дын нæ уыдис мæ цырд мын кæй фехæлдтай, мæ ма йæ уымæн дæр хъуамæ фехалай?
Найти Тому замену?	Ссарын Томæн ивддзаг?
Мы всё купили.	Мах алцыдæр балхæдтам.
Иди постучи в дверь Тома.	Ицу бахой Томы дуармæ .
Ты выйдешь замуж.	Ды ацæудзынæ чындзы.
Том раньше работал с Мэри.	Том раздæр куыста Мэриимæ.
На каждой стене – зеркало.	Алкæцы къулыл дæр - кæсæн.
Где мы встречаемся?	Кæм фембæлдзыстæм?
Вы можете сказать мне, что у вас есть?	Уæ бон у мæ мын зæгъат, цы уæм ис ?
За это можно не платить?	Ай тыххæй гæнæн ис ма бафидын?
Ты был прав. Том - полный идиот.	Ды раст уыдтæ. Том -сæрхъæн у .
Он в розыске.	Агуырды ис .
Давай начнём полтретьего.	Цæйут райдайæм æртæйы рдæгыл.
Вместе мы сможем с этим справиться.	Иумæ махæн нæ бон суыдзæнис сарæхсын.
Я сказал Тому, что мы едем на несколько дней в Австралию.	Æз загътон Томæн , мах кæй цæуæм цалдæр бон мæ Австралимæ.
В этом никто не сомневался.	Уым ничи гуырысхо кодта.
Почему ты в моих ботинках?	Цæмæ дæ мæ дзабырты?
Ты знаешь, что стало с Томом?	Ды зоныс , Томимæ цы рцыд?
Как ты думаешь, откуда Том об этом узнал?	Куды хъуыды кæныс, кæцæй баззыдта Том уый тыххæй?
Почему вы не помогли ей сбежать?	Цæмæнæ йын баххуыс кодтат алидзын?
Кто сюда поставил фикус? Здесь его обязательно сломают.	Ам чи сывæрдта фикус? Ам æй æнæмæнг ацъæл кæндзысты.
Я готова. А Вы?	Æз цæттæ дæн. Сымах та ?
Сначала казалось, что у Тома всё хорошо.	Фыццаг афта кастис, мæ Томæн алцы дæр хорз у .
Том живёт с отцом в Бостоне.	Том йæ фыдимæ цæры Бостоны .
Что ты принёс?	Цы æрбахастай?
Почему он ему этого не говорит?	Цæмæнæ мын æй дзуры?
Не ожидал от вас такого.	Сымахæй ахæм нхъæл нæ уыдтæн.
Том хотел знать, что происходит.	Томы фæндыд зонын, цы тæ цæуы уыдон.
Дописывайте и сдавайте работы.	Фыст фæут æмæ радæттут уæ куыстытæ.
Это мои коты.	Адон мæ гæдытæ сты.
Я сказал Тому, в чём заключается проблема.	Æз загътон Томæн , проблемæ цæй мидæг ис .
Когда ты закончил работу?	Кæд фæдæ куыст ?
В последнее время вы делаете слишком много ошибок.	Фæстаг рæстæджы тынг бирæ рæдийут.
Поедем в больницу.	Ацæуæм рынчындонмæ.
Что бы Том без меня делал?	Том цы кодтаит æнæ мæнæй?
А что, если их нет дома?	Уæдта ма хæдзары не’сты?
Она поёт прекрасную песню.	Уый зары диссаджы зарæг.
Мэри сказала Тому, что они должны уехать.	Мэри загъта Томæн, ацæуын сæ кæй хъæуы уый .
Если это вопрос, каков же тогда ответ?	Кæд ай фарста у , уæд дзы цавæр дзуапп хъуамæ уа?
Том ещё плохо знал женщин.	Том нæма æвзæр зыдта сылгоймæгты.
Он свою работу сваливает на другого.	Уый йæ куыст иннæтæм калы.
Я действительно скучаю по жене.	Æз æцæгæй дæр мысын мæ усы.
"Кого ты любишь?" - "Мэри".	«Кæй уырзыс?»-«Мэри».
Мы с Томом скоро будем соседями.	Томимæ тагъд сыхæгтæ уыдзыстæм .
Никогда об этом не слышал.	Никуы фе’хъуыстон уый тыххæй.
В результате Том не пришёл.	Йæ фæстиуагы Том не’рбацыдис.
Хорошо, я с ним поговорю.	Хорз , æз йе’мæ аныхас кæндзынæн.
Не отдавай его.	Ма йæ ратт.
Когда мама болела, я заботился о ней.	Нана рынчын куы уыдис, уæд йæм мæ хъус дарттон .
Осторожнее, не обожгись.	Сабыргай, ма басудз.
Позвони мне после того, как поговоришь с Томом.	Фæдзур иу мæм Томимæ куы аныхас кæнай уæд.
Все фрукты испортились.	Дыргътæ иууылдæр нал бæззынц .
Покажи мне свою тетрадь, пожалуйста.	Дæ тетрад ма мын равдис, дæ хорзæхæй.
Машина!	Машинæ!
Начнём.	Райдайæм.
Жаль...	Хъыг у .
Дудки!	Уадындзтæ!
Давай!	Цæй!
Помилуйте!	Ныххатыр кæнут!
Выпьем?	Бануазæм ?
Волнуешься?	Тыхсыс?
Занято.	Ахст у.
Болван!	Гуымыдза!
Исчезни.	Фесæф .
Начинай!	Райдай!
Догоняешь?	Райафыс?
Никак.	Никуыд.
Просыпайся!	Райхъал у!
Сожалею.	Фæсмон кæнын.
Поехали.	Ацыдыстæм.
Откуда?	Кæцæй?
Помолчи!	Банцай?
Кругом!	Алварс!
Ерунда.	Ницæйаг.
Забудьте!	Ферох кæнут!
Темнеет.	Талынг кæны.
Огонь!	Арт!
Кто?	Чи?
Подожди!	Фæлæу!
Боишься?	Тæрсыс?
Входите.	Рбахизут.
Поняла!	Бамбæрстон!
Познакомьтесь.	Базонгæут.
Предатель.	Уæйгæнæг.
Притормози!	Фæуром!
